Name of Mobile Phone,SIM,Size,OS,Chipset,CPU,Card slot,Memory,Rear Camera,Front Camera,Wifi,Bluetooth,Sensors,Battery
Asus Zenfone 4 Max Pro ZC554KL,"Dual SIM (Nano-SIM, dual stand-by)","5.5 inches, 83.4 cm2 (~70.4% screen-to-body ratio)",Android 7 (Nougat); ZenUI 4,Qualcomm MSM8917 Snapdragon 425 (28 nm)Qualcomm MSM8937 Snapdragon 430 (28 nm),Quad-core 1.4 GHz Cortex-A53Octa-core 1.4 GHz Cortex-A53,"microSD, up to 256 GB (dedicated slot)","32GB 2GB RAM, 32GB 3GB RAM","16 MP, f/2.0, 26mm (wide), PDAF","16 MP, f/2.0, 18mm","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 5000 mAh battery
Asus Zenfone 4 Max ZC554KL,"Dual SIM (Nano-SIM, dual stand-by)","5.5 inches, 83.4 cm2 (~70.4% screen-to-body ratio)",Android 7 (Nougat); ZenUI 4,Qualcomm MSM8937 Snapdragon 430 (28 nm),Octa-core 1.4 GHz Cortex-A53,"microSD, up to 256 GB (dedicated slot)",32GB 3GB RAM,"13 MP, f/2.0, 25mm (wide), AF
13 MP, f/2.0, 12mm, no AF","8 MP, f/2.2, 24mm (wide)","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 5000 mAh battery
Asus Zenpad Z8s ZT582KL,Micro-SIM,"7.9 inches, 193.3 cm2 (~70.8% screen-to-body ratio)",Android 7.0 (Nougat),Qualcomm MSM8976 Snapdragon 652 (28 nm),Octa-core (4x1.8 GHz Cortex-A72 & 4x1.2 GHz Cortex-A53),"microSD, up to 256 GB",16GB 3GB RAM,"13 MP, f/2.0, AF",5 MP,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, aptX","Accelerometer, gyro, proximity, compass",Non-removable Li-Po 4680 mAh battery (18 Wh)
Asus Zenpad 3s 8.0 Z582KL,Micro-SIM,"7.9 inches, 193.3 cm2",Android 7.1 (Nougat),Qualcomm MSM8976 Snapdragon 652 (28 nm),Octa-core (4x1.8 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53),"microSD, up to 256 GB","32GB 3GB RAM, 64GB 4GB RAM","13 MP, f/2.0, AF",5 MP,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.1, A2DP, LE, aptX","Accelerometer, gyro, proximity, compass",Non-removable Li-Ion 4680 mAh battery (18 Wh)
Asus Zenfone Go ZB552KL,"Dual SIM (Micro-SIM, dual stand-by)","5.5 inches, 83.4 cm2 (~71.2% screen-to-body ratio)",Android 6 (Marshmallow); ZenUI 3,Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,"microSD, up to 128 GB (dedicated slot)","16GB 2GB RAM, 32GB 2GB RAM","13 MP, f/2.0, AF","5 MP, f/2.0, AF","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, EDR","Accelerometer, proximity, compass",Non-removable Li-Ion 3000 mAh battery
Asus Zenfone Live ZB501KL,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","5.0 inches, 68.9 cm2 (~68.1% screen-to-body ratio)",Android 6.0 (Marshmallow); ZenUI 3.5,Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.2 GHz Cortex-A53,"microSD, up to 256 GB (uses shared SIM slot)","16GB 2GB RAM, 32GB 2GB RAM","13 MP, f/2.0, AF","5 MP, f/2.2, 1.4µm, AF","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Accelerometer, proximity, compass",Non-removable Li-Ion 2650 mAh battery
Asus Zenfone 3s Max ZC521TL,"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","5.2 inches, 74.5 cm2 (~67.7% screen-to-body ratio)",Android 7 (Nougat); ZenUI 3,Mediatek MT6750 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"microSD, up to 256 GB (uses shared SIM slot)",32GB 3GB RAM,"13 MP, f/2.0, AF",8 MP,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, EDR","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 5000 mAh battery
Asus Zenpad 3S 10 Z500KL,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","9.7 inches, 291.4 cm2 (~73.2% screen-to-body ratio)",Android 6.0 (Marshmallow),Qualcomm MSM8956 Snapdragon 650,Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A72),"microSD, up to 256 GB (uses shared SIM slot)",32GB 4GB RAM,"8 MP, AF",5 MP,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.1, A2DP, LE, EDR, aptX","Accelerometer, gyro, proximity, compass",Non-removable Li-Po 7800 mAh battery (30 Wh)
Asus Zenfone AR ZS571KL,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","5.7 inches, 89.6 cm2 (~72.6% screen-to-body ratio)",Android 7 (Nougat); ZenUI 3,Qualcomm MSM8996 Snapdragon 821 (14 nm),Quad-core (2x2.35 GHz Kryo & 2x1.6 GHz Kryo),"microSD, up to 1 TB (uses shared SIM slot)","64GB 6GB RAM, 128GB 6GB RAM, 256GB 8GB RAM","23 MP, f/2.0, 1/2.6"", 1.0µm, PDAF, 4-axis OIS, depth & motion tracking sensors","8 MP, f/2.0","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer",Non-removable Li-Ion 3300 mAh battery
Asus Zenfone 3 Zoom ZE553KL,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","5.5 inches, 83.4 cm2 (~70.2% screen-to-body ratio)","Android 6.1 (Marshmallow), upgradable to Android 8 (Oreo); ZenUI 3",Qualcomm MSM8953 Snapdragon 625 (14 nm),Octa-core 2.0 GHz Cortex-A53,"microSD, up to 256 GB (uses shared SIM slot)","32GB 3GB RAM, 32GB 4GB RAM, 64GB 4GB RAM, 128GB 4GB RAM","12 MP, f/1.7, 25mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, Laser AF, 4-axis OIS
12 MP, f/2.8, 59mm (telephoto), AF, 2.3x optical zoom","13 MP, f/2.0, 1/3"", 1.12µm","Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, EDR, LE","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 5000 mAh battery
Asus Zenfone Go ZB690KG,"Dual SIM (Micro-SIM, dual stand-by)","6.9 inches, 134.0 cm2 (~70.3% screen-to-body ratio)",Android 5.1 (Lollipop),Quad-core,"microSD, up to 256 GB (dedicated slot)",8GB 1GB RAM,"5 MP or 8 MP, f/2.0, AF",2 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Accelerometer, proximity, compass",Non-removable Li-Ion 3480 mAh battery
Asus Zenpad 3 8.0 Z581KL,Micro-SIM,"7.9 inches, 193.3 cm2 (~69.0% screen-to-body ratio)",Android 6.0 (Marshmallow),Qualcomm MSM8956 Snapdragon 650,Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A72),"microSD, up to 256 GB",32GB 4GB RAM,8 MP,2 MP,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.1, A2DP, LE, aptX","Accelerometer, gyro, proximity, compass",Non-removable Li-Po 4680 mAh battery (18 Wh)
Asus Zenfone Go ZB500KL,Hybrid Dual SIM (Dual stand-by),"5.0 inches, 68.9 cm2 (~67.6% screen-to-body ratio)",Android 6.0 (Marshmallow),Qualcomm MSM8916 Snapdragon 410 (28 nm),Quad-core 1.0 GHz Cortex-A53,"microSD, up to 256 GB (uses shared SIM slot)",16GB 2GB RAM,"13 MP, f/2.0, AF","5 MP, f/2.0, AF","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, EDR","Accelerometer, proximity, compass",Removable Li-Ion 2600 mAh battery
Asus Zenfone 3 Max ZC553KL,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","5.5 inches, 83.4 cm2 (~72.3% screen-to-body ratio)","Android 6.0.1 (Marshmallow), upgradable to Android 8.1 (Oreo); ZenUI 4",Qualcomm MSM8937 Snapdragon 430 (28 nm),Octa-core 1.4 GHz Cortex-A53,"microSD, up to 256 GB (uses shared SIM slot)","32GB 2GB RAM, 32GB 3GB RAM, 32GB 4GB RAM","16 MP, f/2.0, 1/3"", PDAF, Laser AF","8 MP, f/2.2","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP, LE","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 4100 mAh battery
AT&T Quickfire,Mini-SIM,"2.8 inches, 24.3 cm2 (~39.8% screen-to-body ratio)",microSD (dedicated slot),29MB,1.3 MP,No,No,"1.2, A2DP",,Removable Li-Ion 1200 mAh battery
AT&T SMT5700,Mini-SIM,,Microsoft Windows Mobile 5.0 PocketPC,TI OMAP V1030,260 MHz,microSD (dedicated slot),2 MP,No,No,"1.2, A2DP",,Removable Li-Ion battery
AT&T Mustang,Mini-SIM,"2.2 inches, 15.0 cm2 (~29.4% screen-to-body ratio)",Windows Mobile 6 Standard,Marvell Bulverde 416 MHz,microSD (dedicated slot),"64MB RAM, 128MB ROM",1.3 MP,No,No,"1.2, A2DP",,Removable Li-Po 1320 mAh battery
AT&T 8525,Mini-SIM,"2.8 inches, 42 x 57 mm, 24.3 cm2 (~37.0% screen-to-body ratio)",Microsoft Windows Mobile 6 Professional,400 MHz Samsung,"microSD, up to 8 GB (dedicated slot)","64MB RAM, 128MB ROM",2 MP,No,Wi-Fi 802.11b/g,"2.0, A2DP",,Removable Li-Po 1350 mAh battery
Benefon TWIG Discovery Pro,Mini-SIM,"2.0 inches, 12.6 cm2 (~21.3% screen-to-body ratio)",miniSD,10MB,No,Yes,,Removable Li-Ion 1350 mAh battery
Benefon TWIG Discovery,Mini-SIM,"2.0 inches, 31.2 x 41.2 mm, 12.6 cm2 (~21.3% screen-to-body ratio)",miniSD,No,Yes,,Removable Li-Ion 1000 mAh battery
Benefon Q,Mini-SIM,,No,No,No,,Removable Li-Po 620 mAh battery
Benefon Track,Mini-SIM,,No,No,No,,Removable Li-Ion 700 mAh battery
Benefon Twin+,Dual SIM (Mini-SIM),,No,No,No,,Removable Li-Ion 650 mAh battery
Benefon Twin,Mini-SIM,,No,No,No,,Removable Li-Ion 650 mAh battery
Benefon Esc!,Mini-SIM,,No,No,No,,Removable Li-Ion 700 mAh battery
Benefon iO,Mini-SIM,,No,No,No,,Removable NiMH 700 mAh battery
Benefon Vega,Mini-SIM,,No,No,No,,Removable Li-Ion battery
BenQ F52,Micro-SIM,"5.2 inches, 74.5 cm2 (~68.1% screen-to-body ratio)",Android 5.0 (Lollipop),Qualcomm MSM8939 Snapdragon 615 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"microSD, up to 64 GB (dedicated slot)",16GB 2GB RAM,"13 MP, AF",8 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Accelerometer, proximity, compass",Removable Li-Ion 2500 mAh battery
BenQ B502,"Dual SIM (Mini-SIM/ Micro-SIM, dual stand-by)","5.0 inches, 68.9 cm2 (~68.7% screen-to-body ratio)",Android 4.4.2 (KitKat),Mediatek MT6582 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 32 GB",16GB 2GB RAM,"13 MP, AF",5 MP,"Wi-Fi 802.11 b/g/n, hotspot","3.0, A2DP","Accelerometer, proximity",Non-removable Li-Ion 1800 mAh battery
BenQ T3,Micro-SIM,"4.5 inches, 55.8 cm2 (~63.5% screen-to-body ratio)",Android 4.4.2 (KitKat),Qualcomm MSM8926 Snapdragon 400 (28 nm),Quad-core 1.2 GHz Cortex-A7,"microSD, up to 64 GB (dedicated slot)",4GB 1GB RAM,"8 MP, AF",VGA,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Accelerometer, gyro, proximity, compass",Non-removable Li-Ion 1840 mAh battery
BenQ F5,Micro-SIM,"5.0 inches, 68.9 cm2 (~66.2% screen-to-body ratio)",Android 4.4.2 (KitKat),Qualcomm MSM8926 Snapdragon 400 (28 nm),Quad-core 1.2 GHz Cortex-A7,"microSD, up to 64 GB (dedicated slot)",16GB 2GB RAM,"13 MP, AF",2 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP","Accelerometer, gyro, proximity, compass",Non-removable Li-Ion 2520 mAh battery
BenQ F3,Micro-SIM,"4.5 inches, 55.8 cm2 (~63.4% screen-to-body ratio)",Android 4.2.2 (Jelly Bean),Mediatek MT6589 (28 nm),Quad-core 1.2 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)",4GB 1GB RAM,"13 MP, AF",2 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot",Yes,"Accelerometer, gyro, proximity, compass",Removable Li-Ion 2100 mAh battery
BenQ A3,Mini-SIM,"4.5 inches, 55.8 cm2 (~63.2% screen-to-body ratio)",Android 4.1.2 (Jelly Bean),Qualcomm MSM8225Q Snapdragon S4 Play,Quad-core 1.2 GHz Cortex-A5,"microSD, up to 32 GB (dedicated slot)",4GB 1GB RAM,"8 MP, AF",2 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, DLNA, hotspot",Yes,"Accelerometer, proximity, compass",Removable Li-Ion 2000 mAh battery
BenQ E55,Mini-SIM,"2.0 inches, 12.6 cm2 (~27.9% screen-to-body ratio)","microSD, up to 2 GB (dedicated slot)",45MB,2 MP,VGA videocall camera,No,"1.2, A2DP",,Removable Li-Ion 900 mAh battery
BenQ C36,Mini-SIM,"2.0 inches, 12.6 cm2 (~24.7% screen-to-body ratio)","microSD, up to 2 GB (dedicated slot)",1.3 MP,No,No,No,,Removable Li-Ion 640 mAh battery
BenQ E53,Mini-SIM,"2.0 inches, 12.6 cm2 (~28.8% screen-to-body ratio)","microSD, up to 2 GB (dedicated slot)",45MB,1.3 MP,Yes,No,2.0,,Removable Li-Ion 900 mAh battery
BenQ T60,Mini-SIM,"2.2 inches, 15.0 cm2 (~29.9% screen-to-body ratio)","microSD, up to 2 GB (dedicated slot)",24MB,3.15 MP,No,No,"1.1, A2DP",,Removable Li-Ion 750 mAh battery
BenQ M7,Mini-SIM,"2.0 inches, 12.4 cm2 (~24.8% screen-to-body ratio)",Qualcomm 6250A,microSD,50MB,2 MP,VGA videocall camera,No,1.1,,Removable Li-Ion 920 mAh battery
BenQ E72,Mini-SIM,"2.0 inches, 12.4 cm2 (~24.9% screen-to-body ratio)",Microsoft Windows Mobile 6.0,TI OMAP V1030,260 MHz,microSD (dedicated slot),128MB 64MB RAM,2 MP,No,Wi-Fi 802.11 b/g,"2.0, A2DP",,Removable Li-Ion 900 mAh battery
BenQ C30,Mini-SIM,"1.8 inches, 10.2 cm2 (~20.0% screen-to-body ratio)",microSD,VGA,No,No,No,,Removable Li-Ion 650 mAh battery
BenQ T51,Mini-SIM,"1.8 inches, 10.2 cm2 (~26.1% screen-to-body ratio)",microSD,23MB,2 MP,No,No,1.2,,Removable Li-Ion 750 mAh battery
BenQ T33,Mini-SIM,"1.8 inches, 10.2 cm2 (~23.1% screen-to-body ratio)",microSD,23MB,2 MP,No,No,"1.2, A2DP",,Removable Li-Ion 750 mAh battery
BenQ EL71,Mini-SIM,"2.0 inches, 30 x 40 mm, 12.4 cm2 (~29.7% screen-to-body ratio)","microSD, up to 2 GB (dedicated slot)",16MB,1.3 MP,No,No,"1.2, A2DP",,Removable Li-Ion 570 mAh battery
BenQ M580,Mini-SIM,"1.8 inches, 29 x 35 mm, 10.2 cm2 (~26.3% screen-to-body ratio)",No,2MB,VGA,No,No,1.2,,Removable Li-Ion 870 mAh battery
BenQ U700,Mini-SIM,,miniSD,1.3 MP,No,No,No,,Removable Li-Ion 1000 mAh battery
BenQ Z2,Mini-SIM,"1.5 inches, 27 x 27 mm, 7.3 cm2 (~16.7% screen-to-body ratio)",miniSD,60MB,1.3 MP,No,No,No,,Removable Li-Ion 1000 mAh battery
BenQ M315,Mini-SIM,"1.5 inches, 27 x 27 mm, 7.3 cm2 (~16.2% screen-to-body ratio)",No,CIF,No,No,1.1,,Removable Li-Ion 760 mAh battery
BenQ M220,Mini-SIM,"1.5 inches, 27 x 27 mm, 7.3 cm2 (~16.2% screen-to-body ratio)",No,No,No,,Removable Li-Ion 760 mAh battery
BenQ S80,Mini-SIM,"2.0 inches, 31 x 39 mm, 12.6 cm2 (~31.1% screen-to-body ratio)",miniSD,10MB,1.3 MP,CIF videocall camera,No,1.1,,Removable Li-Ion 840 mAh battery
BenQ A520,Mini-SIM,"1.5 inches, 27 x 27 mm, 7.3 cm2 (~19.6% screen-to-body ratio)",No,2MB,VGA,No,No,No,,Removable Li-Ion 700 mAh battery
BenQ M350,Mini-SIM,"1.5 inches, 27 x 27 mm, 7.3 cm2 (~19.4% screen-to-body ratio)",No,CIF,No,No,No,,Removable Li-Ion 740 mAh battery
BenQ A500,Mini-SIM,"1.9 inches, 30 x 37 mm, 11.4 cm2 (~30.2% screen-to-body ratio)",No,20MB,VGA,No,No,No,,Removable Li-Ion 700 mAh battery
BenQ-Siemens SF71,Mini-SIM,"2.0 inches, 12.4 cm2 (~26.9% screen-to-body ratio)","microSD, up to 1 GB (dedicated slot)",45MB,2 MP,VGA videocall camera,No,"1.1, A2DP",,Removable Li-Ion 920 mAh battery
BenQ-Siemens E52,Mini-SIM,"1.8 inches, 10.2 cm2 (~22.2% screen-to-body ratio)",microSD,20MB,1.3 MP,No,No,1.2,,Removable Li-Ion 920 mAh battery
