Name of Mobile Phone,SIM,Size,OS,Chipset,CPU,Card slot,Memory,Rear Camera,Front Camera,Wifi,Bluetooth,Sensors,Battery
BenQ-Siemens C32,Mini-SIM,"2.0 inches, 12.6 cm2 (~26.2% screen-to-body ratio)",microSD,2 MP,No,No,"1.2, A2DP",,Removable Li-Ion 720 mAh battery
BenQ-Siemens C31,Mini-SIM,"1.8 inches, 10.2 cm2 (~21.9% screen-to-body ratio)",microSD,20MB,1.3 MP,No,No,No,,Removable Li-Ion 920 mAh battery
BenQ-Siemens SL80,Mini-SIM,"1.8 inches, 10.0 cm2 (~22.7% screen-to-body ratio)",No,52MB,1.3 MP,No,No,1.2,,Removable Li-Ion 750 mAh battery
BenQ-Siemens AL26,Mini-SIM,,No,1.5MB,No,No,,Removable Li-Ion 600 mAh battery
BenQ-Siemens A53,Mini-SIM,,microSD (dedicated slot),1.3 MP,No,No,No,,Removable Li-Ion 600 mAh battery
BenQ-Siemens SL91,Mini-SIM,"2.0 inches, 12.4 cm2 (~29.6% screen-to-body ratio)",microSD (dedicated slot),64MB,"3.15 MP, AF",VGA videocall camera,No,Yes,,Removable Li-Ion 950 mAh battery
BenQ-Siemens E81,Mini-SIM,"1.8 inches, 10.2 cm2 (~21.9% screen-to-body ratio)",microSD (dedicated slot),16MB,1.3 MP,No,No,Yes,,Removable Li-Ion 900 mAh battery
BenQ-Siemens E71,Mini-SIM,"2.1 inches, 31 x 42 mm, 13.7 cm2 (~28.5% screen-to-body ratio)",microSD (dedicated slot),16MB,1.3 MP,No,No,Yes,,Removable Li-Ion 730 mAh battery
BenQ-Siemens EF61,Mini-SIM,,microSD (dedicated slot),1.5MB,1.3 MP,No,No,Yes,,Removable Li-Ion 750 mAh battery
BenQ-Siemens M81,Mini-SIM,"1.8 inches, 27 x 36 mm, 10.0 cm2 (~20.1% screen-to-body ratio)",RS-MMC,27MB,1.3 MP,No,No,Yes,,Removable Li-Ion 820 mAh battery
BenQ-Siemens A58,Mini-SIM,,No,6.5MB,No,Yes,,Removable Li-Ion 820 mAh battery
BenQ-Siemens A38,Mini-SIM,"1.4 inches, 5.8 cm2 (~12.4% screen-to-body ratio)",No,256 KB,No,No,,Removable Li-Ion 860 mAh battery
BenQ-Siemens EF71,Mini-SIM,"2.2 inches, 34 x 45 mm, 15.2 cm2 (~36.0% screen-to-body ratio)",microSD (dedicated slot),24MB,2 MP,No,No,Yes,,Removable Li-Ion 750 mAh battery
BenQ-Siemens P51,Mini-SIM,"2.8 inches, 42 x 57 mm, 24.3 cm2 (~33.2% screen-to-body ratio)",Microsoft Windows Mobile 5.0 PocketPC,32-bit Intel XScale PXA272 416 MHz,MMC/SDIO,"64MB RAM, 192MB ROM",1.3 MP,No,"Wi-Fi 802.11b/g, VoIP via Wi-Fi","1.2, A2DP",,Removable Li-Ion 1370 mAh battery
BenQ-Siemens EL71,Mini-SIM,"2.0 inches, 30 x 40 mm, 12.4 cm2 (~29.7% screen-to-body ratio)",microSD (dedicated slot),16MB,1.3 MP,No,No,"1.2, A2DP",,Removable Li-Ion 570 mAh battery
BenQ-Siemens CL71,Mini-SIM,,microSD (dedicated slot),24MB,1.3 MP,No,No,1.2,,Removable Li-Ion 750 mAh battery
BenQ-Siemens CF61,Mini-SIM,"1.8 inches, 29 x 35 mm, 10.2 cm2 (~25.2% screen-to-body ratio)",microSD (dedicated slot),1.5MB,1.3 MP,No,No,Yes,,Removable Li-Ion 750 mAh battery
BenQ-Siemens C81,Mini-SIM,"1.8 inches, 27 x 36 mm, 10.0 cm2 (~20.7% screen-to-body ratio)",RS-MMC,23MB,1.3 MP,No,No,"1.2, A2DP",,Removable Li-Ion 820 mAh battery
BenQ-Siemens E61,Mini-SIM,"1.8 inches, 29 x 35 mm, 10.2 cm2 (~22.9% screen-to-body ratio)",miniSD,1MB,VGA,No,No,No,,Removable Li-Ion 840 mAh battery
BenQ-Siemens EF91,Mini-SIM,"2.0 inches, 30 x 40 mm, 12.4 cm2 (~29.0% screen-to-body ratio)",microSD (dedicated slot),32MB,"3.15 MP, AF",VGA videocall camera,No,"1.2, A2DP",,Removable Li-Ion 1000 mAh battery
BenQ-Siemens S81,Mini-SIM,"2.0 inches, 31 x 39 mm, 12.6 cm2 (~24.1% screen-to-body ratio)",microSD (dedicated slot),30MB,1.3 MP,VGA videocall camera,No,1.1,,Removable Li-Ion 920 mAh battery
BenQ-Siemens EF51,Mini-SIM,"2.2 inches, 40 x 40 mm, 15.6 cm2 (~35.7% screen-to-body ratio)",miniSD,20MB,1.3 MP,No,No,"1.2, A2DP",,Removable Li-Ion 870 mAh battery
BenQ-Siemens EF81,Mini-SIM,"2.2 inches, 34 x 45 mm, 15.0 cm2 (~31.3% screen-to-body ratio)","microSD, up to 1 GB (dedicated slot)",64MB,2 MP,No,No,Yes,,Removable Li-Ion 950 mAh battery
BenQ-Siemens S88,Mini-SIM,"2.0 inches, 31 x 39 mm, 12.6 cm2 (~27.1% screen-to-body ratio)",microSD (dedicated slot),20MB,"2 MP, AF",No,No,Yes,,Removable Li-Ion 920 mAh battery
BenQ-Siemens S68,Mini-SIM,"1.8 inches, 28 x 37 mm, 10.0 cm2 (~21.2% screen-to-body ratio)",No,26MB,No,"1.2, A2DP",,Removable Li-Ion 660 mAh battery
Bird M32,Mini-SIM,"1.8 inches, 10.2 cm2 (~23.6% screen-to-body ratio)",microSD,VGA,No,No,No,,Removable Li-Ion 600 mAh battery
Bird D636,Mini-SIM,"1.9 inches, 11.4 cm2 (~23.7% screen-to-body ratio)",microSD,60MB,1.3 MP,No,No,No,,Removable Li-Ion 600 mAh battery
Bird D706,Mini-SIM,"1.9 inches, 11.4 cm2 (~23.7% screen-to-body ratio)",microSD,60MB,1.3 MP,No,No,No,,Removable Li-Ion 600 mAh battery
Bird D615,Mini-SIM,"1.8 inches, 10.2 cm2 (~21.3% screen-to-body ratio)",microSD (dedicated slot),60MB,1.3 MP,No,No,Yes,,Removable Li-Ion 650 mAh battery
Bird S768,Mini-SIM,"1.8 inches, 10.2 cm2 (~21.1% screen-to-body ratio)",microSD,No,No,,Removable Li-Ion 700 mAh battery
Bird S758,Mini-SIM,"1.8 inches, 10.2 cm2 (~21.1% screen-to-body ratio)",No,No,No,,Removable Li-Ion 700 mAh battery
Bird S618,Mini-SIM,"1.7 inches, 9.1 cm2 (~19.2% screen-to-body ratio)",No,No,No,,Removable Li-Ion 700 mAh battery
Bird D736,Mini-SIM,"1.9 inches, 11.4 cm2 (~25.4% screen-to-body ratio)",microSD (dedicated slot),60MB,2 MP,No,No,No,,Removable Li-Ion 600 mAh battery
Bird D716,Mini-SIM,"1.9 inches, 11.4 cm2 (~23.3% screen-to-body ratio)",microSD (dedicated slot),60MB,"2 MP, AF",No,No,No,,Removable Li-Ion 600 mAh battery
Bird D720,Mini-SIM,"1.9 inches, 11.4 cm2 (~24.7% screen-to-body ratio)",miniSD,60MB,2 MP,No,No,No,,Removable Li-Ion 700 mAh battery
Bird D611,Mini-SIM,"1.8 inches, 10.2 cm2 (~22.0% screen-to-body ratio)",microSD (dedicated slot),60MB,1.3 MP,No,No,Yes,,Removable Li-Ion 650 mAh battery
Bird D515,Mini-SIM,"1.8 inches, 10.2 cm2 (~20.6% screen-to-body ratio)",microSD,VGA,No,No,Optional,,Removable Li-Ion 650 mAh battery
Bird D612,Mini-SIM,"1.8 inches, 10.2 cm2 (~22.0% screen-to-body ratio)",microSD (dedicated slot),VGA,No,No,No,,Removable Li-Ion 650 mAh battery
Bird M29,Mini-SIM,"1.6 inches, 8.1 cm2 (~17.1% screen-to-body ratio)",microSD (dedicated slot),37MB,VGA,No,No,No,,Removable Li-Ion 700 mAh battery
Bird M01,Mini-SIM,"1.5 inches, 7.3 cm2 (~18.4% screen-to-body ratio)",No,62MB,No,No,,Removable Li-Ion 650 mAh battery
Bird M07,Mini-SIM,"1.5 inches, 7.3 cm2 (~15.7% screen-to-body ratio)",No,57MB,No,No,,Removable Li-Ion 700 mAh battery
Bird S1130,Mini-SIM,"1.5 inches, 7.3 cm2 (~18.4% screen-to-body ratio)",No,No,No,,Removable Li-Ion 650 mAh battery
Bird V5518+,Mini-SIM,"1.8 inches, 10.2 cm2 (~26.5% screen-to-body ratio)",No,No,No,,Removable Li-Ion 700 mAh battery
Bird S663,Mini-SIM,"1.5 inches, 7.3 cm2 (~15.7% screen-to-body ratio)",No,No,No,,Removable Li-Ion 700 mAh battery
Bird S661,Mini-SIM,"1.5 inches, 7.3 cm2 (~15.7% screen-to-body ratio)",No,No,No,,Removable Li-Ion 700 mAh battery
Bird S669,Mini-SIM,"1.5 inches, 7.3 cm2 (~15.3% screen-to-body ratio)",No,No,No,,Removable Li-Ion 500 mAh battery
Bird S668,Mini-SIM,"1.5 inches, 7.3 cm2 (~15.3% screen-to-body ratio)",No,No,No,,Removable Li-Ion 500 mAh battery
Bird S667,Mini-SIM,"1.5 inches, 7.3 cm2 (~15.3% screen-to-body ratio)",No,No,No,,Removable Li-Ion 500 mAh battery
Bird S296+,Mini-SIM,"1.4 inches, 5.7 cm2 (~12.1% screen-to-body ratio)",No,No,No,,Removable Li-Ion 500 mAh battery
Bird S296,Mini-SIM,"1.4 inches, 5.7 cm2 (~12.1% screen-to-body ratio)",No,No,No,,Removable Li-Ion 500 mAh battery
BlackBerry KEY2 LE,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","4.5 inches, 60.0 cm2 (~55.6% screen-to-body ratio)",Android 8.1 (Oreo),Qualcomm SDM636 Snapdragon 636 (14 nm),Octa-core 1.8 GHz Kryo 260,"microSD, up to 256 GB","32GB 4GB RAM, 64GB 4GB RAM","13 MP, f/2.2, 1/3.1"", 1.12µm, PDAF
5 MP, f/2.4, 1.12µm, depth sensor",8 MP,"Wi-Fi 802.11 а/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, EDR","Fingerprint (front-mounted), accelerometer, proximity, compass",Non-removable Li-Ion 3000 mAh battery
BlackBerry Evolve X,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","5.99 inches, 92.6 cm2 (~75.8% screen-to-body ratio)",Android 8.1 (Oreo),Qualcomm SDM660 Snapdragon 660 (14 nm),Octa-core (4x2.2 GHz Kryo 260 & 4x1.8 GHz Kryo 260),"microSD, up to 1 TB",64GB 6GB RAM,"12 MP, f/1.8, 1/2.8"", 1.29µm, PDAF
13 MP, f/2.6, 1/3.4"", 1.0µm, 2х optical zoom, PDAF","16 MP, f/2.0","Wi-Fi 802.11 а/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 4000 mAh battery
BlackBerry Evolve,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","5.99 inches, 92.6 cm2 (~76.6% screen-to-body ratio)",Android 8.1 (Oreo),Qualcomm SDM450 Snapdragon 450 (14 nm),Octa-core 1.8 GHz Cortex-A53,"microSD, up to 256 GB",64GB 4GB RAM,"13 MP, 1/3.1"", 1.12µm, PDAF
13 MP B/W, 1/3.1"", 1.12µm, PDAF",16 MP,"Wi-Fi 802.11 а/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 4000 mAh battery
BlackBerry KEY2,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by) - BBF100-6 only","4.5 inches, 60.0 cm2 (~55.2% screen-to-body ratio)",Android 8.1 (Oreo),Qualcomm SDM660 Snapdragon 660 (14 nm),Octa-core (4x2.2 GHz Kryo 260 & 4x1.8 GHz Kryo 260),"microSD, up to 256 GB","64GB 6GB RAM, 128GB 6GB RAM","12 MP, f/1.8, 1/2.3"", 1.28µm, dual pixel PDAF
12 MP, f/2.6, 1/3.4"", 1.0µm, PDAF","8 MP, f/2.0, 1/4"", 1.12µm","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","5.0, A2DP, LE, EDR","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 3500 mAh battery
BlackBerry Motion,"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","5.5 inches, 82.6 cm2 (~70.2% screen-to-body ratio)",Android 7.1 (Nougat),Qualcomm MSM8953 Snapdragon 625 (14 nm),Octa-core 2.0 GHz Cortex-A53,"microSD, up to 1 TB (uses shared SIM slot)",32GB 4GB RAM,"12 MP, f/2.0, PDAF","8 MP, f/2.2, 1.12µm","Wi-Fi 802.11 b/g/n/ac, Wi-Fi Direct, hotspot","4.2, A2DP, EDR, LE","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 4000 mAh battery
BlackBerry Aurora,"Dual SIM (Micro-SIM, dual stand-by)","5.5 inches, 83.4 cm2 (~71.4% screen-to-body ratio)",Android 7.0 (Nougat),Qualcomm MSM8917 Snapdragon 425 (28 nm),Quad-core 1.4 GHz Cortex-A53,"microSD, up to 256 GB",32GB 4GB RAM,"13 MP, AF",8 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP, EDR, LE","Accelerometer, proximity, compass",Non-removable Li-Ion 3000 mAh battery
BlackBerry Keyone,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by) - BBB100-4 only","4.5 inches, 60.0 cm2 (~55.6% screen-to-body ratio)","Android 7.1 (Nougat), upgradable to Android 8.0 (Oreo)",Qualcomm MSM8953 Snapdragon 625 (14 nm),Octa-core 2.0 GHz Cortex-A53,"microSD, up to 256 GB","32GB 3GB RAM, 64GB 4GB RAM","12 MP, f/2.0, 1/2.3"", 1.55µm, PDAF","8 MP, f/2.2, 1/4"", 1.12µm","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, EDR","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 3500 mAh battery
BlackBerry DTEK60,Nano-SIM,"5.5 inches, 83.4 cm2 (~71.9% screen-to-body ratio)",Android 6.0 (Marshmallow),Qualcomm MSM8996 Snapdragon 820 (14 nm),Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),"microSD, up to 1 TB (dedicated slot)",32GB 4GB RAM,"21 MP, f/2.0, PDAF","8 MP, f/2.2","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, EDR","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 3000 mAh battery
BlackBerry DTEK50,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","5.2 inches, 74.5 cm2 (~69.9% screen-to-body ratio)",Android 6.0 (Marshmallow),Qualcomm MSM8952 Snapdragon 617 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.2 GHz Cortex-A53),"microSD, up to 256 GB (uses shared SIM slot)",16GB 3GB RAM,"13 MP, f/2.0, PDAF","8 MP, f/2.2","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE, EDR","Accelerometer, gyro, proximity, compass",Non-removable Li-Ion 2610 mAh battery
BlackBerry Priv,Nano-SIM,"5.4 inches, 81.6 cm2 (~71.9% screen-to-body ratio)","Android 5.1.1 (Lollipop), upgradable to 6.0.1 (Marshmallow)",Qualcomm MSM8992 Snapdragon 808 (20 nm),Hexa-core (4x1.4 GHz Cortex-A53 & 2x1.8 GHz Cortex-A57),"microSD, up to 256 GB (dedicated slot)",32GB 3GB RAM,"18 MP, f/2.2, 27mm (wide), 1/2.4"", PDAF, OIS",2 MP,"Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot","4.1, A2DP, EDR, LE","Accelerometer, altimeter, gyro, ToF proximity, compass",Non-removable Li-Ion 3410 mAh battery
BlackBerry Leap,Micro-SIM,"5.0 inches, 68.9 cm2 (~65.7% screen-to-body ratio)",BlackBerry OS 10.3.1,Qualcomm MSM8960 Snapdragon S4 Plus,Dual-core 1.5 GHz Krait,"microSD, up to 256 GB (dedicated slot)",16GB 2GB RAM,"8 MP, f/2.2, 31mm (standard), AF",2 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, EDR, LE","Accelerometer, proximity",Non-removable Li-Ion 2800 mAh battery
BlackBerry Classic Non Camera,Nano-SIM,"3.5 inches, 39.5 cm2 (~41.7% screen-to-body ratio)",BlackBerry OS 10.3.1,Dual-core 1.5 GHz Krait,"microSD, up to 256 GB (dedicated slot)",16GB 2GB RAM,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","4.0, A2DP, EDR, LE","Accelerometer, gyro, proximity, compass",Non-removable Li-Ion 2500 mAh battery
BlackBerry Porsche Design P'9983,Micro-SIM,"3.1 inches, 31.0 cm2 (~38.8% screen-to-body ratio)","BlackBerry OS 10.3, upgradable to 10.3.1",Qualcomm MSM8960T Snapdragon S4 Pro,Dual-core 1.5 GHz Krait,"microSD, up to 256 GB (dedicated slot)",64GB 2GB RAM,"8 MP, AF",2 MP,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot","4.0, A2DP, LE","Accelerometer, gyro, proximity, compass",Removable Li-Ion 2100 mAh battery
BlackBerry Passport,Nano-SIM,"4.5 inches, 65.3 cm2 (~56.5% screen-to-body ratio)","BlackBerry OS 10.3, upgradable to 10.3.2",Qualcomm MSM8974AA Snapdragon 801 (28 nm),Quad-core 2.26 GHz Krait 400,"microSD, up to 256 GB (dedicated slot)",32GB 3GB RAM,"13 MP, f/2.0, 30mm (standard), AF, OIS","2 MP, f/2.8, 28mm (wide)","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","4.0, A2DP, LE","Accelerometer, gyro, proximity, compass",Non-removable Li-Ion 3450 mAh battery
BlackBerry Classic,Nano-SIM,"3.5 inches, 38.7 cm2 (~40.8% screen-to-body ratio)","BlackBerry OS 10.3.1, upgradable to 10.3.2",Qualcomm MSM8960 Snapdragon S4 Plus,Dual-core 1.5 GHz Krait,"microSD, up to 256 GB (dedicated slot)",16GB 2GB RAM,"8 MP, f/2.2, 31mm (standard), AF",2 MP,"Wi-Fi 802.11 a/b/g/n, dual-band, hotspot","4.0, A2DP, EDR, LE","Accelerometer, gyro, proximity, compass",Non-removable Li-Ion 2515 mAh battery
BlackBerry Z3,Micro-SIM,"5.0 inches, 68.9 cm2 (~67.6% screen-to-body ratio)","BlackBerry OS 10.2.1, upgradable to 10.3.1",Qualcomm MSM8230 Snapdragon 400 (28 nm),Dual-core 1.2 GHz Krait 200,"microSD, up to 32 GB (dedicated slot)",8GB 1.5GB RAM,"5 MP, f/2.4, 30mm (standard), AF",1.1 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Accelerometer, proximity",Non-removable Li-Ion 2500 mAh battery
BlackBerry Porsche Design P'9982,Micro-SIM,"4.2 inches, 50.2 cm2 (~58.4% screen-to-body ratio)","BlackBerry OS 10.2, upgradable to 10.2.1",Qualcomm MSM8960T Snapdragon S4 Pro,Dual-core 1.5 GHz Krait,"microSD, up to 64 GB (dedicated slot)",64GB 2GB RAM,"8 MP, AF",2 MP,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot","4.0, A2DP, LE","Accelerometer, gyro, proximity, compass",Removable Li-Ion 1800 mAh battery
BlackBerry Z30,Micro-SIM,"5.0 inches, 68.9 cm2 (~68.0% screen-to-body ratio)","BlackBerry OS 10.2, upgradable to 10.3.1",Qualcomm MSM8960T Snapdragon S4 Pro,Dual-core 1.7 GHz Krait,"microSD, up to 64 GB (dedicated slot)",16GB 2GB RAM,"8 MP, f/2.2, 31mm (standard), AF",2 MP,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.0, A2DP, LE","Accelerometer, gyro, proximity, compass",Non-removable Li-Ion 2880 mAh battery
BlackBerry 9720,Mini-SIM,"2.8 inches, 24.3 cm2 (~32.3% screen-to-body ratio)",BlackBerry OS 7.1,806 MHz Tavor MG1,"microSD, up to 32 GB (dedicated slot)","512MB ROM, 512MB RAM",5 MP,No,"Wi-Fi 802.11 b/g/n, hotspot","2.1, A2DP, EDR","Accelerometer, proximity",Removable Li-Ion 1450 mAh battery
BlackBerry Q5,Micro-SIM,"3.1 inches, 31.0 cm2 (~39.1% screen-to-body ratio)","BlackBerry OS 10.2, upgradable to 10.3.1",Qualcomm MSM8960 Snapdragon S4 Plus,Dual-core 1.2 GHz Krait,"microSD, up to 32 GB (dedicated slot)",8GB 2GB RAM,"5 MP, f/2.4, 30mm (standard), AF",2 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Accelerometer, gyro, proximity, compass",Non-removable Li-Ion 2180 mAh battery
BlackBerry Z10,Micro-SIM,"4.2 inches, 50.2 cm2 (~58.9% screen-to-body ratio)","BlackBerry OS 10, upgradable to 10.3.1",Qualcomm MSM8960 Snapdragon S4 Plus,Dual-core 1.5 GHz Krait,"microSD, up to 64 GB (dedicated slot)",16GB 2GB RAM,"8 MP, f/2.2, 31mm (standard), AF",2 MP,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot","4.0, A2DP, LE","Accelerometer, gyro, proximity, compass",Removable Li-Ion 1800 mAh battery
BlackBerry Q10,Micro-SIM,"3.1 inches, 31.0 cm2 (~38.8% screen-to-body ratio)","BlackBerry OS 10, upgradable to 10.3.1",Snapdragon S4 (LTE version)/ TI OMAP 4470 (Non-LTE),Dual-core 1.5 GHz Krait (LTE version)/ Cortex-A9 (Non-LTE),"microSD, up to 64 GB (dedicated slot)",16GB 2GB RAM,"8 MP, f/2.2, 31mm (standard), AF",2 MP,"Wi-Fi 802.11 a/b/g/n, dual band, hotspot","4.0, A2DP","Accelerometer, gyro, proximity, compass",Removable Li-Ion 2100 mAh battery
BlackBerry 4G LTE Playbook,No,"7.0 inches, 137.9 cm2 (~54.7% screen-to-body ratio)",BlackBerry Tablet 2.0,Dual-core 1.5 GHz,No,32GB 1GB RAM,"5 MP, AF",3 MP,"Wi-Fi 802.11 a/b/g/n, dual-band","3.1, A2DP, EDR","Accelerometer, gyro, compass",Non-removable Li-Po battery
BlackBerry Curve 9320,Mini-SIM,"2.44 inches, 18.4 cm2 (~28.2% screen-to-body ratio)",BlackBerry OS 7.1,"microSD, up to 32 GB (dedicated slot)","512MB ROM, 512MB RAM",3.15 MP,No,Wi-Fi 802.11 b/g/n,"2.1, A2DP","Accelerometer, proximity, compass",Removable Li-Ion 1450 mAh battery
BlackBerry Curve 9220,Mini-SIM,"2.44 inches, 18.4 cm2 (~28.2% screen-to-body ratio)",BlackBerry OS 7.1,"microSD, up to 32 GB (dedicated slot)","512MB ROM, 512MB RAM",2 MP,No,Wi-Fi 802.11 b/g/n,"2.1, A2DP","Accelerometer, proximity, compass",Removable Li-Ion 1450 mAh battery (J-S1)
BlackBerry Curve 9380,Mini-SIM,"3.2 inches, 31.7 cm2 (~48.5% screen-to-body ratio)",BlackBerry OS 7.0,806 MHz,"microSD, up to 32 GB (dedicated slot)",512MB 512MB RAM,5 MP,No,"Wi-Fi 802.11 b/g/n, UMA (carrier-dependent)","2.1, A2DP, EDR",Proximity,Removable Li-Ion battery (JM-1)
BlackBerry Bold 9790,Mini-SIM,"2.45 inches, 18.6 cm2 (~28.2% screen-to-body ratio)",BlackBerry OS 7.0,Marvel Tavor MG1 1.0 GHz,"microSD, up to 32 GB (dedicated slot)",8GB 768MB RAM,"5 MP, AF",No,"Wi-Fi 802.11 a/b/g/n, dual-band","2.1, A2DP, EDR",,Removable Li-Ion 1230 mAh battery (JM-1)
BlackBerry Porsche Design P'9981,Mini-SIM,"2.8 inches, 24.3 cm2 (~31.5% screen-to-body ratio)",BlackBerry OS 7.0,Qualcomm MSM8655 Snapdragon S2,1.2 GHz,"microSD, up to 32 GB (dedicated slot)",8GB 768MB RAM,"5 MP, AF",No,Wi-Fi 802.11 b/g/n,"2.1, A2DP, EDR","Accelerometer, proximity, compass",Removable Li-Ion 1230 mAh battery
BlackBerry Curve 9370,Mini-SIM,"2.44 inches, 18.4 cm2 (~28.2% screen-to-body ratio)",BlackBerry OS 7.0,800 MHz,"microSD, up to 32 GB (dedicated slot)",1GB 512MB RAM,5 MP,No,Wi-Fi 802.11 b/g/n,"2.1, A2DP",,Removable Li-Ion 1000 mAh battery
BlackBerry Curve 9360,Mini-SIM,"2.44 inches, 18.4 cm2 (~28.2% screen-to-body ratio)",BlackBerry OS 7.0,800MHz,"microSD, up to 32 GB (dedicated slot)",512MB 512MB RAM,5 MP,No,"Wi-Fi 802.11 b/g/n, UMA (carrier-dependent)","2.1, A2DP",,Removable Li-Ion 1000 mAh battery
BlackBerry Curve 9350,Mini-SIM,"2.44 inches, 18.4 cm2 (~28.2% screen-to-body ratio)",BlackBerry OS 7.0,800 MHz,"microSD, up to 32 GB (dedicated slot)","512MB ROM, 512MB RAM",5 MP,No,Wi-Fi 802.11 b/g/n,"2.1, A2DP",,Removable Li-Ion 1000 mAh battery
BlackBerry Torch 9810,Mini-SIM,"3.2 inches, 31.7 cm2 (~46.1% screen-to-body ratio)",BlackBerry OS 7.0,1.2 GHz,"microSD, up to 32 GB (dedicated slot)",8GB 768MB RAM,"5 MP, AF",No,"Wi-Fi 802.11 b/g/n, UMA (carrier-dependent)","2.1, A2DP","Proximity, compass",Removable Li-Ion 1270 mAh battery
BlackBerry Torch 9860,Mini-SIM,"3.7 inches, 39.0 cm2 (~52.4% screen-to-body ratio)",BlackBerry OS 7,1.2 GHz QC 8655,"microSD, up to 32 GB (dedicated slot)",4GB 768MB RAM,"5 MP, AF",No,Wi-Fi 802.11 b/g/n,"2.1, A2DP","Accelerometer, proximity, compass",Removable Li-Ion 1230 mAh battery
BlackBerry Torch 9850,Mini-SIM,"3.7 inches, 39.0 cm2 (~52.4% screen-to-body ratio)",BlackBerry OS 7,Qualcomm MSM8655 Snapdragon S2,1.2 GHz Scorpion,"microSD, up to 32 GB (dedicated slot)",4GB 768MB RAM,"5 MP, AF",No,Wi-Fi 802.11 b/g/n,"2.1, A2DP, EDR","Accelerometer, proximity, compass",Removable Li-Ion 1230 mAh battery
BlackBerry Bold Touch 9900,Mini-SIM,"2.8 inches, 24.3 cm2 (~32.0% screen-to-body ratio)",BlackBerry OS 7.0,1.2 GHz QC 8655,"microSD, up to 32 GB (dedicated slot)",8GB 768MB RAM,5 MP,No,Wi-Fi 802.11 b/g/n,"2.1, A2DP, EDR","Proximity, compass",Removable Li-Ion 1230 mAh battery
BlackBerry Bold Touch 9930,Mini-SIM,"2.8 inches, 24.3 cm2 (~32.0% screen-to-body ratio)",BlackBerry OS 7.0,1.2 GHz QC 8655,"microSD, up to 32 GB (dedicated slot)",8GB 768MB RAM,5 MP,No,Wi-Fi 802.11 b/g/n,"2.1, A2DP, EDR","Accelerometer, proximity, compass",Removable Li-Ion 1230 mAh battery
BlackBerry 4G Playbook HSPA+,Mini-SIM,"7.0 inches, 137.9 cm2 (~54.7% screen-to-body ratio)",BlackBerry Tablet OS,TI OMAP 4430,Dual-core 1.0 GHz Cortex-A9,No,"16GB 1GB RAM, 32GB 1GB RAM, 64GB 1GB RAM","5 MP, AF",3 MP,"Wi-Fi 802.11 a/b/g/n, dual-band","2.1, A2DP, EDR",Accelerometer,Non-removable Li-Po 5300 mAh battery
